SI_IMP202	SITC of PA FW & User Authenticate(MFA)	Released	L.G. BALAKRISHNAN & BROS LIMITED
SI_IMP59	SITC_CARE Hospital_Vizag	Released	QUALITY CARE INDIA LIMITED
DC_CON23	Site Assessment for Federal Bank DC	Released	The Federal bank limited Information Technology Department
EA_PROF_SER1	SIte Survey charges towards	Released	Wipro GE Healthcare Private Limited
MS_SUP24	SkuTitle -Power BI Pro_Annual	Released	EZ Vidya Pvt Ltd
MS_SUP5	SOC services for BIO E	Released	BIOLOGICAL E. LIMITED
SI_SUP198	SonaComstar - Passive & SFP - 260012	Released	Sona Comstar
SI_IMP181	SonaComstar - SITC - 260002	Released	Sona Comstar
SI_AMC5	Sonicwall Renewal	Released	K.Palaniyappa Memorial Educational Trust
DC_CON25	SPCPL - ELV Consulting Services	Released	SHAPOORJI PALLONJI AND COMPANY PVT LTD
SI_SUP65	Sphoorthy_Supply of R650 AP & CiscoSG350	Released	SPHOORTHY ENGINEERING COLLEGE Society Thoma Educational
SI_SUP74	Spoorthy_Supply of 42U Rack & Sophos	Released	SPHOORTHY ENGINEERING COLLEGE Society Thoma Educational
MS_SEC7	SPOT MDR - 240076	Released	International Airport Hotels and Resorts
CL_SUP1	Sri Krishna Education Trust	Released	Sri Krishna Education Trust
SI_SUP78	STAR_48P Console System & Licenses	Released	STAR India Pvt. Ltd
SI_SUP94	Steril - CBY Appliance & Backup Exec Lic	Released	STERIL-GENE LIFE SCIENCES (P) LTD
DC_IMP23	SukhdevRaj(IIT-P, Scada System for BMS)	Released	Sukhdev Raj Sharma Engineers & Contractors Pvt Ltd
SI_SUP102	Supply & Ins. of CCTV - Care, Banjara	Released	Quality care India Limited-Telangana
SI_SUP101	Supply & install-240038	Released	Manipal Health Enterprises Pvt. Ltd.
CPSO553	Supply & SITC Juniper switches_CCTV req	Released	Larsen & Toubro Limited (Tamilnadu)
CPSO598	Supply Aditi cloudpath-240296	Released	Aditi Tech Consulting Private Limited- Gujarat
